"","yr_db","Week-1","Week-2","Week-3","Week-4","Week-5","Week-6","Week-7","Week-8","Week-9","Week-10","Week-11","Week-12","Week-13","Week-14","Week-15","Week-16","Week-17","Week-18","Week-19","Week-20","Week-21","Week-22","Week-23","Week-24","Week-25","Week-26","Week-27","Week-28","Week-29","Week-30","Week-31","Week-32","Week-33","Week-34","Week-35","Week-36","Week-37","Week-38","Week-39","Week-40","Week-41","Week-42","Week-43","Week-44","Week-45","Week-46","Week-47","Week-48","Week-49","Week-50","Week-51","Week-52","AVIBASEID"
"76","inat19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113636363636364,0.0227272727272727,0.0340909090909091,0,0,0.0113636363636364,0,0,0,0,0.0113636363636364,0,0,0.0113636363636364,0,0.0568181818181818,0.0340909090909091,0.125,0.102272727272727,0.0909090909090909,0.125,0.0909090909090909,0.0909090909090909,0.0227272727272727,0.0454545454545455,0,0.0113636363636364,0.0113636363636364,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.0227272727272727,0,0,0,0,0,0,"3F9E1C51"
"77","inat19",0.0337423312883436,0.0245398773006135,0.0122699386503067,0.0245398773006135,0.0337423312883436,0.0245398773006135,0.0153374233128834,0.0153374233128834,0.0214723926380368,0.0368098159509202,0.0521472392638037,0.0184049079754601,0.00920245398773006,0.0337423312883436,0.0153374233128834,0.0153374233128834,0.0306748466257669,0.0214723926380368,0.0184049079754601,0.0153374233128834,0.0122699386503067,0.0153374233128834,0.0184049079754601,0.0122699386503067,0.0245398773006135,0.0337423312883436,0.0184049079754601,0.0153374233128834,0.0153374233128834,0.00613496932515337,0.0214723926380368,0.0214723926380368,0.0337423312883436,0.0153374233128834,0.0122699386503067,0.00920245398773006,0.0122699386503067,0.00613496932515337,0.0153374233128834,0.00613496932515337,0.0153374233128834,0.0122699386503067,0.00920245398773006,0.0276073619631902,0.00920245398773006,0.0184049079754601,0.0122699386503067,0.0122699386503067,0.00613496932515337,0.0276073619631902,0.0276073619631902,0.0245398773006135,"407E2CA8"
"78","inat19",0,0.0217391304347826,0.130434782608696,0.152173913043478,0,0.0217391304347826,0,0,0,0,0.0217391304347826,0.217391304347826,0,0.0217391304347826,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0,0.0217391304347826,0.0217391304347826,0,0.0217391304347826,0,0.0217391304347826,0,0.0652173913043478,0.0217391304347826,0,0,0,0.0217391304347826,0.0217391304347826,0,0.152173913043478,"4185F617"
"79","inat19",0.0233039875712066,0.0134645261522527,0.013982392542724,0.0248575867426204,0.0243397203521491,0.0129466597617815,0.0201967892283791,0.0290005178663905,0.0170895908855515,0.0264111859140342,0.0362506473329881,0.0331434489901605,0.0191610564474366,0.018125323666494,0.0238218539616779,0.0217503883997929,0.0538581046090109,0.0269290523045054,0.0186431900569653,0.0191610564474366,0.0253754531330917,0.0212325220093216,0.00932159502848265,0.0145002589331952,0.0108751941998964,0.0150181253236665,0.0103573278094252,0.0119109269808389,0.0170895908855515,0.0186431900569653,0.0145002589331952,0.0176074572760228,0.0134645261522527,0.0176074572760228,0.0155359917141378,0.0196789228379078,0.0207146556188503,0.0196789228379078,0.0191610564474366,0.018125323666494,0.0238218539616779,0.0145002589331952,0.0170895908855515,0.016053858104609,0.0186431900569653,0.0227861211807354,0.0103573278094252,0.0145002589331952,0.00880372863801139,0.0113930605903677,0.0119109269808389,0.0233039875712066,"42393721"
"80","inat19",0.0131578947368421,0,0,0,0,0,0,0.0394736842105263,0.0394736842105263,0,0,0,0,0,0,0,0.0263157894736842,0,0.0394736842105263,0.0131578947368421,0.0394736842105263,0.0526315789473684,0.0131578947368421,0.105263157894737,0.0263157894736842,0.0657894736842105,0.118421052631579,0.0789473684210526,0.105263157894737,0.0657894736842105,0.0131578947368421,0,0.0263157894736842,0.0394736842105263,0.0526315789473684,0,0,0.0131578947368421,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,"45D829B3"
"81","inat19",0.032258064516129,0.0403225806451613,0.0524193548387097,0.108870967741935,0.0443548387096774,0.0201612903225806,0,0.032258064516129,0.00403225806451613,0.0241935483870968,0.032258064516129,0.032258064516129,0.032258064516129,0.0120967741935484,0,0.00403225806451613,0.00806451612903226,0,0,0.00403225806451613,0,0,0,0.00403225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0.00403225806451613,0,0.0241935483870968,0.0685483870967742,0.0161290322580645,0.0241935483870968,0.0362903225806452,0.0241935483870968,0.0524193548387097,0.0443548387096774,0.0564516129032258,0.0201612903225806,0.00806451612903226,0.0120967741935484,0.0645161290322581,0.0564516129032258,"466E9077"
"82","inat19",0.0195185426154847,0.0227716330513988,0.0136629798308393,0.0273259596616786,0.0227716330513988,0.0214703968770332,0.0182173064411191,0.0175666883539362,0.0130123617436565,0.0136629798308393,0.0312296681847755,0.0188679245283019,0.00975927130774236,0.0117111255692908,0.00650618087182824,0.00780741704619388,0.0266753415744958,0.00975927130774236,0.0123617436564736,0.00715679895901106,0.0182173064411191,0.0136629798308393,0.022121014964216,0.0169160702667534,0.00780741704619388,0.0149642160052049,0.0123617436564736,0.00975927130774236,0.00975927130774236,0.00780741704619388,0.0143135979180221,0.0214703968770332,0.0227716330513988,0.0162654521795706,0.0403383214053351,0.0377358490566038,0.0344827586206897,0.0403383214053351,0.0201691607026675,0.0286271958360442,0.0234222511385817,0.0351333767078725,0.022121014964216,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0227716330513988,0.0201691607026675,0.0104098893949252,0.0162654521795706,0.0149642160052049,0.0364346128822381,"49D9148A"
"83","inat19",0.0625,0,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0.0625,0.0625,0.0625,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,"4A3B2CFF"
"84","inat19",0.0251396648044693,0.0167597765363128,0.0167597765363128,0.0418994413407821,0.0363128491620112,0.0558659217877095,0.0167597765363128,0.0474860335195531,0.0195530726256983,0.0251396648044693,0.0391061452513966,0.0223463687150838,0.0223463687150838,0.0558659217877095,0.0139664804469274,0.0139664804469274,0.0502793296089385,0.0139664804469274,0.0139664804469274,0.00837988826815642,0.00837988826815642,0.00558659217877095,0.00837988826815642,0.0307262569832402,0.00837988826815642,0.0167597765363128,0.0167597765363128,0,0.00837988826815642,0.00279329608938547,0.00279329608938547,0,0,0.00279329608938547,0.00279329608938547,0.00279329608938547,0,0.00279329608938547,0.00558659217877095,0.0223463687150838,0.0223463687150838,0.0251396648044693,0.0474860335195531,0.0558659217877095,0.0223463687150838,0.0167597765363128,0.0279329608938547,0.0279329608938547,0.00558659217877095,0.00837988826815642,0.0251396648044693,0.0111731843575419,"4A5B4883"
"85","inat19",0.0625,0.125,0,0.0625,0,0.125,0.125,0.125,0.0625,0,0.0625,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0,0,"4AAEF549"
